Sentence#	Word	POS	Tag
Sentence:1	The	DT	O
	elements	NNS	O
	include	VBP	O
	all	DT	O
	hardware	NN	B-syscon
	,	,	O
	software	NN	B-syscon
	,	,	O
	equipment	NN	B-syscon
	,	,	O
	facilities	NNS	B-syscon
	,	,	O
	personnel	NNS	B-grp
	,	,	O
	processes	NNS	B-seterm
	,	,	O
	and	CC	O
	procedures	NNS	B-opcon
	needed	VBN	O
	for	IN	O
	this	DT	O
	purpose	NN	O
	;	:	O
	that	WDT	O
	is	VBZ	O
	,	,	O
	all	DT	O
	things	NNS	O
	required	VBN	O
	to	TO	O
	produce	VB	O
	system	NN	B-opcon
	level	JJ	I-opcon
	results	NNS	I-opcon
	.	.	O
Sentence:2	The	DT	O
	art	NN	O
	is	VBZ	O
	in	IN	O
	knowing	VBG	O
	when	WRB	O
	and	CC	O
	where	WRB	O
	to	TO	O
	probe	VB	O
	.	.	O
Sentence:3	If	IN	O
	the	DT	O
	project	NN	B-seterm
	waits	VBZ	O
	until	IN	O
	verification	NN	B-opcon
	to	TO	O
	do	VB	O
	any	DT	O
	type	NN	O
	of	IN	O
	test	NN	B-opcon
	or	CC	O
	analysis	NN	B-opcon
	,	,	O
	any	DT	O
	problems	NNS	O
	found	VBN	O
	will	MD	O
	have	VB	O
	a	DT	O
	significant	JJ	O
	cost	NN	B-mea
	impact	NN	I-mea
	to	TO	O
	redesign	VB	B-opcon
	and	CC	I-opcon
	reverify	VB	I-opcon
	.	.	O
Sentence:4	For	IN	O
	example	NN	O
	,	,	O
	a	DT	O
	trade	NN	B-opcon
	study	NN	I-opcon
	might	MD	O
	be	VB	O
	made	VBN	O
	to	TO	O
	decide	VB	O
	between	IN	O
	performing	VBG	O
	a	DT	O
	test	NN	B-opcon
	at	IN	O
	a	DT	O
	centralized	JJ	B-loc
	facility	NN	I-loc
	or	CC	O
	at	IN	O
	several	JJ	B-loc
	decentralized	JJ	I-loc
	locations	NNS	I-loc
	.	.	O
Sentence:5	RM	NNP	B-abb
	should	MD	O
	be	VB	O
	considered	VBN	O
	in	IN	O
	the	DT	O
	development	NN	B-opcon
	of	IN	O
	the	DT	O
	verification	NN	B-opcon
	approach	NN	I-opcon
	.	.	O
Sentence:6	Other	JJ	O
	risk	NN	B-opcon
	assessments	NNS	I-opcon
	contribute	VBP	O
	to	TO	O
	trade	VB	O
	studies	NNS	O
	that	WDT	O
	determine	VBP	O
	the	DT	O
	preferred	JJ	O
	methods	NNS	O
	of	IN	O
	verification	NN	B-opcon
	to	TO	O
	be	VB	O
	used	VBN	O
	and	CC	O
	when	WRB	O
	those	DT	O
	methods	NNS	O
	should	MD	O
	be	VB	O
	performed	VBN	O
	.	.	O
Sentence:7	For	IN	O
	example	NN	O
	,	,	O
	a	DT	O
	trade	NN	O
	might	MD	O
	be	VB	O
	made	VBN	O
	between	IN	O
	performing	VBG	O
	a	DT	O
	model	NN	B-opcon
	test	NN	I-opcon
	versus	IN	O
	determining	VBG	O
	model	NN	B-opcon
	characteristics	NNS	I-opcon
	by	IN	O
	a	DT	O
	less	RBR	O
	costly	JJ	B-mea
	but	CC	O
	less	RBR	O
	revealing	JJ	O
	analysis	NN	B-opcon
	.	.	O
Sentence:8	The	DT	O
	project	NN	B-grp
	manager	NN	I-grp
	SER	NNP	B-abb
	should	MD	O
	determine	VB	O
	what	WP	O
	risks	NNS	B-mea
	are	VBP	O
	acceptable	JJ	O
	in	IN	O
	terms	NNS	O
	of	IN	O
	the	DT	O
	proj	NN	O
	ect	VBP	O
	s	NN	O
	cost	NN	B-mea
	and	CC	O
	schedule	NN	B-opcon
	.	.	O
Sentence:9	Availability	NN	O
	of	IN	O
	verification	NN	B-syscon
	facilities	NNS	I-syscon
	sites	NNS	O
	and	CC	O
	transportation	NN	B-syscon
	assets	NNS	I-syscon
	to	TO	O
	move	VB	O
	an	DT	O
	article	NN	O
	from	IN	O
	one	CD	B-cardinal
	location	NN	O
	to	TO	O
	another	DT	O
	when	WRB	O
	needed	VBN	O
	.	.	O
Sentence:10	This	DT	O
	requires	VBZ	O
	coordination	NN	O
	with	IN	O
