Sentence#	Word	POS	Tag
Sentence:1	The	DT	O
	elements	NNS	O
	include	VBP	O
	all	DT	O
	hardware	NN	B-syscon
	","	","	O
	software	NN	B-syscon
	","	","	O
	equipment	NN	B-syscon
	","	","	O
	facilities	NNS	B-loc
	","	","	O
	personnel	NNS	B-grp
	","	","	O
	processes	NNS	B-opcon
	","	","	O
	and	CC	O
	procedures	NNS	B-opcon
	needed	VBN	O
	for	IN	O
	this	DT	O
	purpose	NN	O
	;	:	O
	that	WDT	O
	is	VBZ	O
	","	","	O
	all	DT	O
	things	NNS	O
	required	VBN	O
	to	TO	O
	produce	VB	O
	system	NN	B-mea
	level	JJ	I-mea
	results	NNS	I-mea
	.	.	O
Sentence:2	The	DT	O
	results	NNS	B-mea
	include	VBP	O
	system	NN	B-mea
	level	JJ	I-mea
	qualities	NNS	I-mea
	","	","	O
	properties	NNS	B-mea
	","	","	O
	characteristics	NNS	B-mea
	","	","	O
	functions	NNS	B-opcon
	","	","	O
	behavior	NN	B-mea
	","	","	O
	and	CC	O
	performance	NN	B-mea
	.	.	O
Sentence:3	It	PRP	O
	is	VBZ	O
	a	DT	O
	way	NN	O
	of	IN	O
	achieving	VBG	O
	stakeholder	NN	B-grp
	functional	NN	B-opcon
	","	","	O
	physical	JJ	B-opcon
	","	","	O
	and	CC	O
	operational	JJ	B-opcon
	performance	NN	B-opcon
	requirements	NNS	I-opcon
	in	IN	O
	the	DT	O
	intended	VBN	O
	use	NN	O
	environment	NN	O
	over	IN	O
	the	DT	O
	planned	JJ	B-seterm
	life	NN	I-seterm
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	within	IN	O
	cost	NN	B-mea
	","	","	O
	schedule	NN	B-opcon
	","	","	O
	and	CC	O
	other	JJ	O
	constraints	NNS	B-seterm
	.	.	O
Sentence:4	It	PRP	O
	is	VBZ	O
	a	DT	O
	methodology	NN	O
	that	WDT	O
	supports	VBZ	O
	the	DT	O
	containment	NN	B-opcon
	of	IN	O
	the	DT	O
	LCC	NNP	B-abb
	of	IN	O
	a	DT	O
	system	NN	B-syscon
	.	.	O
Sentence:5	In	IN	O
	other	JJ	O
	words	NNS	O
	","	","	O
	SEG	NNP	B-abb
	is	VBZ	O
	a	DT	O
	logical	JJ	O
	way	NN	O
	of	IN	O
	thinking	NN	O
	.	.	O
Sentence:6	SEG	NNP	B-abb
	is	VBZ	O
	the	DT	O
	art	NN	O
	and	CC	O
	science	NN	O
	of	IN	O
	developing	VBG	O
	an	DT	O
	operable	JJ	B-syscon
	system	NN	I-syscon
	capable	JJ	O
	of	IN	O
	meeting	NN	O
	requirements	NNS	B-opcon
	within	IN	O
	often	RB	O
	opposed	JJ	O
	constraints	NNS	B-seterm
	.	.	O
Sentence:7	SEG	NNP	B-abb
	is	VBZ	O
	a	DT	O
	holistic	JJ	O
	","	","	O
	integrative	JJ	O
	discipline	NN	O
	","	","	O
	wherein	VBP	O
	the	DT	O
	contributions	NNS	O
	of	IN	O
	structural	JJ	B-grp
	engineers	NNS	I-grp
	","	","	O
	electrical	JJ	B-grp
	engineers	NNS	I-grp
	","	","	O
	mechanism	NN	B-grp
	designers	NNS	I-grp
	","	","	O
	power	NN	B-grp
	engineers	NNS	I-grp
	","	","	O
	human	JJ	B-grp
	factors	NNS	I-grp
	engineers	NNS	I-grp
	","	","	O
	and	CC	O
	many	JJ	O
	more	JJR	O
	disciplines	NNS	O
	are	VBP	O
	evaluated	VBN	O
	and	CC	O
	balanced	VBN	O
	","	","	O
	one	CD	O
	against	IN	O
	another	DT	O
	","	","	O
	to	TO	O
	produce	VB	O
	a	DT	O
	coherent	JJ	O
	whole	NN	O
	that	WDT	O
	is	VBZ	O
	not	RB	O
	dominated	VBN	O
	by	IN	O
	the	DT	O
	perspective	NN	O
	of	IN	O
	a	DT	O
	single	JJ	O
	discipline	NN	O
	.	.	O
Sentence:8	SEG	NNP	B-abb
	seeks	VBZ	O
	a	DT	O
	safe	JJ	O
	and	CC	O
	balanced	JJ	O
	design	NN	B-opcon
	in	IN	O
	the	DT	O
	face	NN	O
	of	IN	O
	opposing	VBG	O
