Word	Tag
The	O
elements	O
include	O
all	O
hardware	B-syscon
,	O
software	B-syscon
,	O
equipment	B-syscon
,	O
facilities	B-syscon
,	O
personnel	B-grp
,	O
processes	B-seterm
,	O
and	O
procedures	B-opcon
needed	O
for	O
this	O
purpose	O
;	O
that	O
is	O
,	O
all	O
things	O
required	O
to	O
produce	O
system	B-opcon
level	I-opcon
results	I-opcon
.	O
The	O
art	O
is	O
in	O
knowing	O
when	O
and	O
where	O
to	O
probe	O
.	O
If	O
the	O
project	B-seterm
waits	O
until	O
verification	B-opcon
to	O
do	O
any	O
type	O
of	O
test	B-opcon
or	O
analysis	B-opcon
,	O
any	O
problems	O
found	O
will	O
have	O
a	O
significant	O
cost	B-mea
impact	I-mea
to	O
redesign	B-opcon
and	I-opcon
reverify	I-opcon
.	O
For	O
example	O
,	O
a	O
trade	B-opcon
study	I-opcon
might	O
be	O
made	O
to	O
decide	O
between	O
performing	O
a	O
test	B-opcon
at	O
a	O
centralized	B-loc
facility	I-loc
or	O
at	O
several	B-loc
decentralized	I-loc
locations	I-loc
.	O
RM	B-abb
should	O
be	O
considered	O
in	O
the	O
development	B-opcon
of	O
the	O
verification	B-opcon
approach	I-opcon
.	O
Other	O
risk	B-opcon
assessments	I-opcon
contribute	O
to	O
trade	O
studies	O
that	O
determine	O
the	O
preferred	O
methods	O
of	O
verification	B-opcon
to	O
be	O
used	O
and	O
when	O
those	O
methods	O
should	O
be	O
performed	O
.	O
For	O
example	O
,	O
a	O
trade	O
might	O
be	O
made	O
between	O
performing	O
a	O
model	B-opcon
test	I-opcon
versus	O
determining	O
model	B-opcon
characteristics	I-opcon
by	O
a	O
less	O
costly	B-mea
but	O
less	O
revealing	O
analysis	B-opcon
.	O
The	O
project	B-grp
manager	I-grp
SER	B-abb
should	O
determine	O
what	O
risks	B-mea
are	O
acceptable	O
in	O
terms	O
of	O
the	O
proj	O
ect	O
s	O
cost	B-mea
and	O
schedule	B-opcon
.	O
Availability	O
of	O
verification	B-syscon
facilities	I-syscon
sites	O
and	O
transportation	B-syscon
assets	I-syscon
to	O
move	O
an	O
article	O
from	O
one	B-cardinal
location	O
to	O
another	O
when	O
needed	O
.	O
This	O
requires	O
coordination	O
with	O
the	O
ILS	B-grp
engineer	I-grp
.	O
A	O
NASA	B-org
field	I-org
Center	I-org
can	O
often	O
shape	O
a	O
contractor	B-grp
s	O
verification	B-opcon
process	I-opcon
through	O
the	O
project	B-seterm
s	O
SOW	B-abb
.	O
In	O
preparation	O
for	O
verification	B-opcon
,	O
the	O
verification	B-opcon
plan	I-opcon
and	O
the	O
specified	O
requirements	B-opcon
are	O
collected	O
,	O
reviewed	O
,	O
and	O
confirmed	O
.	O
The	O
product	B-syscon
to	O
be	O
verified	O
is	O
obtained	O
output	O
from	O
the	O
Product	B-opcon
Implementation	I-opcon
Process	I-opcon
or	O
the	O
Product	B-opcon
Integration	I-opcon
Process	I-opcon
along	O
with	O
any	O
enabling	B-opcon
products	I-opcon
,	O
such	O
as	O
those	O
representing	O
external	O
interfacing	O
products	B-seterm
and	O
support	O
resources	O
including	O
personnel	B-grp
that	O
